Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2016-01-04,25.65250015258789,26.342500686645508,25.5,26.337499618530273,23.73094940185547,270597600,AAPL
2016-01-05,26.4375,26.462499618530273,25.602500915527344,25.677499771118164,23.13626480102539,223164000,AAPL
2016-01-06,25.139999389648438,25.592500686645508,24.967500686645508,25.174999237060547,22.683496475219727,273829600,AAPL
2016-01-07,24.670000076293945,25.032499313354492,24.107500076293945,24.112499237060547,21.72614288330078,324377600,AAPL
2016-01-08,24.637500762939453,24.77750015258789,24.190000534057617,24.239999771118164,21.841032028198242,283192000,AAPL
2016-01-11,24.74250030517578,24.764999389648438,24.334999084472656,24.63249969482422,22.194692611694336,198957600,AAPL
2016-01-12,25.137500762939453,25.172500610351562,24.709999084472656,24.989999771118164,22.516803741455078,196616800,AAPL
2016-01-13,25.079999923706055,25.297500610351562,24.325000762939453,24.34749984741211,21.93789291381836,249758400,AAPL
2016-01-14,24.489999771118164,25.1200008392334,23.934999465942383,24.8799991607666,22.41769027709961,252680400,AAPL
2016-01-15,24.049999237060547,24.427499771118164,23.84000015258789,24.282499313354492,21.87932777404785,319335600,AAPL
2016-01-19,24.602500915527344,24.662500381469727,23.875,24.165000915527344,21.773456573486328,212350800,AAPL
2016-01-20,23.774999618530273,24.547500610351562,23.354999542236328,24.197500228881836,21.802734375,289337600,AAPL
2016-01-21,24.264999389648438,24.469999313354492,23.735000610351562,24.075000762939453,21.692365646362305,208646000,AAPL
2016-01-22,24.657499313354492,25.364999771118164,24.592500686645508,25.354999542236328,22.845685958862305,263202000,AAPL
2016-01-25,25.3799991607666,25.38249969482422,24.802499771118164,24.860000610351562,22.399675369262695,207178000,AAPL
2016-01-26,24.982500076293945,25.219999313354492,24.517499923706055,24.997499465942383,22.523569107055664,300308000,AAPL
2016-01-27,24.010000228881836,24.157499313354492,23.334999084472656,23.354999542236328,21.04361915588379,533478800,AAPL
