model_name,roc_auc,f1,precision,recall,accuracy
logistic_regression,0.995643737532863,0.954541030709966,0.9618181818181817,0.9482834994462902,0.9666511411271541
svm_rbf,0.9955829290991426,0.9645779119048796,0.9678354978354978,0.9623477297895903,0.9736531594472908
gradient_boosting,0.9947247871379872,0.9561668292972693,0.9764127764127764,0.9389811738648948,0.9683744760130415
extra_trees,0.9947200645734874,0.9495272323736742,0.9645713574716934,0.9387596899224807,0.9631113181183046
xgboost,0.9947113559912445,0.9638333181145959,0.9809183064997018,0.9482834994462902,0.9736065828287532
random_forest,0.992345199534849,0.9454684369406673,0.954927536231884,0.9386489479512734,0.9595870206489675
