model_name,roc_auc,f1,precision,recall,directional_accuracy
extra_trees,0.5204405864253472,0.68728551933597,0.5481512836169266,0.9221726596605272,0.5420682730923695
svm_rbf,0.5162637523602283,0.6766184163062627,0.5479922045098709,0.8854278336598185,0.5390562248995984
xgboost,0.5142056889803797,0.6297122845963893,0.551126822836556,0.7367497501584361,0.5276104417670683
logistic_regression,0.5132079300922392,0.5436343766645928,0.5527722292428174,0.5352517527426986,0.5100401606425703
random_forest,0.5110843657104114,0.6841228820272154,0.5496447423902937,0.9073359222678398,0.5428714859437751
gradient_boosting,0.5063355754900127,0.6581624984688328,0.5505539408139909,0.8216379425428915,0.5353413654618474
